Model,Dataset,Criterion Description,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9141300082206726,0.8445923447608947,0.9589335918426514,0.8774731159210205,0.9132455825805664
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9139189004898072,0.8432323932647705,0.9286859512329102,0.8975188136100769,0.9134623527526855
UNetDilated,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9122545719146729,0.840975821018219,0.959264051914215,0.8709109902381897,0.9117875099182129
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.910930597782135,0.8390652656555175,0.9517052412033081,0.8746417880058288,0.9118101119995117
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9099025845527648,0.8367971897125244,0.929901945590973,0.8875678181648254,0.9110218048095703
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9093987584114075,0.8363961696624755,0.9399386286735535,0.8812709331512452,0.9098990440368653
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9089156270027161,0.8359753489494324,0.961110508441925,0.8633529424667359,0.9073829650878906
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9081352710723877,0.8344949007034301,0.9412584781646729,0.8788612961769104,0.9090163230895996
UNetDeconv,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9082857966423035,0.8337002754211426,0.9283569097518921,0.8896768808364868,0.9081255912780761
EncDecStride,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9072249531745911,0.8332902193069458,0.9503307938575745,0.8701952815055847,0.9063096046447754
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9065173983573913,0.8320634841918946,0.9675835013389588,0.8548645615577698,0.905601692199707
EncDecStride,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.906751298904419,0.8317681193351746,0.9429073452949523,0.874499249458313,0.9065778732299805
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9060214042663575,0.8311080217361451,0.961892557144165,0.8548105716705322,0.9046473503112793
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9058145523071289,0.8307359695434571,0.9511528253555298,0.8623850107192993,0.906338119506836
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9050017952919006,0.8293639063835144,0.9533654928207398,0.8680743336677551,0.9044283866882324
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9046778321266175,0.8290340900421143,0.961847984790802,0.8568848848342896,0.90594482421875
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9050136566162109,0.8286978244781494,0.9471466541290283,0.8660090327262878,0.9061842918395996
EncDecStride,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.902117645740509,0.8235717177391052,0.888637125492096,0.9147892475128174,0.9022932052612305
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9013384342193603,0.8234532594680786,0.9511264204978943,0.8584392428398132,0.9034012794494629
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9010404825210572,0.822823989391327,0.9704637885093689,0.8440325617790222,0.9025158882141113
UNetDilated,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8991762638092041,0.8206236004829407,0.9659052968025208,0.8438155651092529,0.9007545471191406
EncDecStride,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8974657773971557,0.8180049300193787,0.9597387433052063,0.8465238809585571,0.8988093376159668
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8979237079620361,0.8178959608078002,0.9491922378540039,0.8526025533676147,0.899680233001709
EncDec_base,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8915815114974975,0.8087367177009582,0.9570978283882141,0.8375518441200256,0.8943607330322265
UNetDilated,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8897417664527894,0.8070639967918396,0.9573688864707947,0.8340069413185119,0.8906691551208497
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8864301323890686,0.8009317278861999,0.9522269487380981,0.8297605633735656,0.8900803565979004
EncDecStride,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8852631330490113,0.7995981335639953,0.973551619052887,0.8164337635040283,0.8860498428344726
EncDec_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.886098575592041,0.79951913356781,0.956767988204956,0.8270502924919129,0.8860776901245118
UNetDeconv,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8858109831809997,0.7986541867256165,0.9525133013725281,0.8323492050170899,0.8898479461669921
EncDec_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.883986234664917,0.7962596178054809,0.9503954291343689,0.8326558113098145,0.8866515159606934
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8828482627868652,0.79568932056427,0.9753525495529175,0.8095107555389405,0.8845261573791504
EncDecStride,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8833856701850891,0.7955445766448974,0.9688623428344727,0.8144889593124389,0.8862902641296386
EncDec_base,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8821130871772767,0.7936993360519409,0.9677834153175354,0.8169265508651733,0.8872218132019043
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8816533207893371,0.7931432723999023,0.9775279641151429,0.8064916729927063,0.8862812042236328
EncDec_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8813835382461548,0.7925753474235535,0.9648329734802246,0.8162245988845825,0.8867597579956055
UNetDeconv,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8810128569602966,0.7913294553756713,0.9495350360870362,0.8312205314636231,0.8848212242126465
UNetDilated,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8806800961494445,0.791188097000122,0.96816486120224,0.8118987679481506,0.8868780136108398
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8804937839508057,0.7910271525382996,0.953921890258789,0.8202007293701172,0.8856856346130371
DilatedConvNet,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8815508604049682,0.7909671187400817,0.901498281955719,0.8707890391349793,0.8849860191345215
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8800814151763916,0.7907241582870483,0.9599679231643676,0.8144777655601502,0.88699312210083
EncDec_base,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8797508001327514,0.7899765133857727,0.9810763120651245,0.8000326752662659,0.8828221321105957
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8784008622169495,0.7885488748550415,0.9720722317695618,0.806485378742218,0.8832588195800781
EncDec_base,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.878469955921173,0.7864304065704346,0.9485437393188476,0.819331693649292,0.8848376274108887
UNetDeconv,ph2,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8764325976371765,0.7852122783660889,0.9620467901229859,0.8134324193000794,0.8814609527587891
DilatedConvNet,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8770828962326049,0.7848676323890686,0.9494218945503234,0.8263028383255004,0.8834234237670898
EncDec_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8762344717979431,0.7841050267219544,0.9731723070144653,0.8006341814994812,0.882425594329834
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8745341062545776,0.7804335713386535,0.928538691997528,0.8348196268081665,0.8789875984191895
UNetDeconv,ph2,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8732462644577026,0.7803524255752563,0.96240713596344,0.8107164382934571,0.8788712501525879
DilatedConvNet,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.875056791305542,0.779842209815979,0.8463864803314209,0.9064553380012512,0.876192283630371
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8722691059112548,0.7794815063476562,0.9764717817306519,0.7913744568824768,0.8785647392272949
EncDec_base,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8679373145103455,0.7717575788497925,0.9735663652420044,0.7866426587104798,0.8714668273925781
EncDecStride,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8673100113868714,0.7703241109848022,0.9407331228256226,0.8167634606361389,0.872196102142334
EncDec_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8644271612167358,0.7671430110931396,0.9829538106918335,0.7775869965553284,0.8710740089416504
UNetDeconv,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8648496270179749,0.7668477892875671,0.9745131492614746,0.7887418270111084,0.8737194061279296
UNetDeconv,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8612089037895203,0.7621721386909485,0.9738669991493225,0.7826244950294494,0.8694765090942382
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8608883738517761,0.7611959338188171,0.9390080094337463,0.8084107637405396,0.8648316383361816
DilatedConvNet,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8603820681571961,0.7608531713485718,0.9581612944602966,0.7923940300941468,0.8693083763122559
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8608185887336731,0.7608471512794495,0.9523610353469849,0.7982772946357727,0.8682337760925293
DilatedConvNet,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8558027505874634,0.7541013717651367,0.9739026665687561,0.7744752764701843,0.86571044921875
UNetDilated,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8561846375465393,0.7538472056388855,0.981404721736908,0.7663202285766602,0.8627608299255372
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8555492401123047,0.7535635828971863,0.9871602416038513,0.7608976602554322,0.8653770446777344
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8555950045585632,0.7523980259895324,0.9444501876831055,0.7904127478599549,0.8648824691772461
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8548115730285645,0.7523353219032287,0.9505139708518981,0.7931471467018127,0.8626500129699707
EncDecStride,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8537549614906311,0.7513941645622253,0.9810520529747009,0.7634186744689941,0.8640261650085449
UNetDeconv,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8453095436096192,0.7395395398139953,0.984151291847229,0.7483070731163025,0.8563612937927246
UNetDilated,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8434753298759461,0.7360750794410705,0.9500874042510986,0.7694005489349365,0.8548505783081055
DilatedConvNet,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.829648745059967,0.7155093789100647,0.9545257210731506,0.74752779006958,0.8452690124511719
EncDecStride,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8281237959861756,0.7128638744354248,0.9814719080924987,0.7218395709991455,0.8439201354980469
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8158295154571533,0.69639972448349,0.991946017742157,0.6990880012512207,0.8342397689819336
DilatedConvNet,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8096135973930358,0.6878460109233856,0.94842529296875,0.7249305963516235,0.8290609359741211
DilatedConvNet,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8009777903556824,0.6774289786815644,0.9574069023132324,0.7049520015716553,0.823212718963623
DilatedConvNet,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7927401423454284,0.6651477575302124,0.9570137739181519,0.6934547007083893,0.8179314613342286
DilatedConvNet,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7681924939155579,0.6341943562030792,0.9343632340431214,0.6788095653057098,0.7978408813476563
EncDecStride,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.7034083127975463,0.5528100311756134,0.9864776134490967,0.5624804735183716,0.7521625518798828
EncDec_batchnorm_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.675538182258606,0.5277245283126831,0.14595393985509872,0.978119945526123,0.5610135078430176
UNetDilated,ph2,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
UNetDilated,ph2,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
